"id","session","timestamp","realm","success","input"
"1","98ca4a9c181d","2023-12-23 12:07:19",NULL,"1","logout"
"2","81a7630f42bb","2023-12-23 19:44:24",NULL,"1","uname -s -v -n -r -m"
"3","397d80934f86","2023-12-23 20:04:27",NULL,"1","uname -s -v -n -r -m"
"4","a7f439c22434","2023-12-23 20:11:09",NULL,"1","uname -s -v -n -r -m"
"5","a5c90f07d7b2","2023-12-23 20:31:08",NULL,"1","uname -s -v -n -r -m"
"6","f23366b0ac18","2023-12-23 21:50:34",NULL,"1","/ip cloud print"
"7","f23366b0ac18","2023-12-23 21:50:34",NULL,"0","/ip cloud print"
"8","f23366b0ac18","2023-12-23 21:50:35",NULL,"1","ifconfig"
"9","f23366b0ac18","2023-12-23 21:50:36",NULL,"1","uname -a"
"10","f23366b0ac18","2023-12-23 21:50:37",NULL,"1","cat /proc/cpuinfo"
"11","f23366b0ac18","2023-12-23 21:50:38",NULL,"1","ps | grep '[Mm]iner'"
"12","f23366b0ac18","2023-12-23 21:50:39",NULL,"1","ps -ef | grep '[Mm]iner'"
"13","f23366b0ac18","2023-12-23 21:50:40",NULL,"1","ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*"
"14","f23366b0ac18","2023-12-23 21:50:41",NULL,"1","echo Hi | cat -n"
"15","6ba86c9c339c","2023-12-23 22:11:13",NULL,"1","uname -s -v -n -r -m"
"16","a032cb45bd66","2023-12-23 22:24:33",NULL,"1","uname -s -v -n -r -m"
"17","6ab4573bfde5","2023-12-23 22:31:14",NULL,"1","uname -s -v -n -r -m"
"18","ff436e7cc8c1","2023-12-23 22:37:55",NULL,"1","uname -s -v -n -r -m"
"19","2a8b9df3823a","2023-12-23 23:11:21",NULL,"1","uname -s -v -n -r -m"
"20","9d4dac4be56b","2023-12-23 23:24:46",NULL,"1","uname -s -v -n -r -m"
"21","4440c390a0b2","2023-12-23 23:31:27",NULL,"1","uname -s -v -n -r -m"
"22","1afe5ecabe42","2023-12-23 23:38:05",NULL,"1","uname -s -v -n -r -m"
"23","e705983ddcf2","2023-12-23 23:41:44",NULL,"1","uname -s -v -n -r -m"
"24","6125bf7b83af","2023-12-23 23:48:24",NULL,"1","uname -s -v -n -r -m"
"25","901c0ef4a152","2023-12-24 00:21:44",NULL,"1","uname -s -v -n -r -m"
"26","7dfaf924ecb0","2023-12-24 00:28:24",NULL,"1","uname -s -v -n -r -m"
"27","9c2768fd3bb1","2023-12-24 00:48:23",NULL,"1","uname -s -v -n -r -m"
"28","e48be9ddf85d","2023-12-24 00:54:37",NULL,"1","grep -c ^processor /proc/cpuinfo"
"29","f07fad55962f","2023-12-24 00:54:42",NULL,"1","grep -c ^processor /proc/cpuinfo"
"30","8eaaa179e90e","2023-12-24 00:55:03",NULL,"1","uname -s -v -n -r -m"
"31","f4d28a97971d","2023-12-24 01:01:43",NULL,"1","uname -s -v -n -r -m"
"32","561df168f6d8","2023-12-24 01:21:42",NULL,"1","uname -s -v -n -r -m"
"33","2408bb237c64","2023-12-24 02:01:41",NULL,"1","uname -s -v -n -r -m"
