"id","session","timestamp","dst_ip","dst_port","data"
"1","12079eaf7b7c","2023-12-23 12:45:03","142.250.74.78","80","b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
"2","12079eaf7b7c","2023-12-23 12:45:03","2a00:1450:400f:802::200e","80","b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
"3","12079eaf7b7c","2023-12-23 12:45:04","74.6.143.26","80","b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
"4","12079eaf7b7c","2023-12-23 12:45:04","2001:4998:44:3507::8001","80","b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
"5","12079eaf7b7c","2023-12-23 12:45:04","74.6.143.25","80","b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
"6","12079eaf7b7c","2023-12-23 12:45:04","2001:4998:44:3507::8001","80","b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
"7","00ef84cb9cff","2023-12-23 13:19:38","142.251.1.113","443","b""\x16\x03\x03\x00%\x10\x00\x00! \x85J\xc9\x8ea[\x86pP-P*f\x9a\x8d\xbd/'\xcf\xd8&\xde\xe8\xb8\xf7j\xe5?f\xa7\xa7\xf7\x00"""
"8","50405912c350","2023-12-23 13:36:58","142.250.74.78","80","b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
"9","50405912c350","2023-12-23 13:36:58","2a00:1450:400f:802::200e","80","b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
"10","50405912c350","2023-12-23 13:36:59","74.6.143.26","80","b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
"11","50405912c350","2023-12-23 13:36:59","2001:4998:44:3507::8001","80","b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
"12","50405912c350","2023-12-23 13:36:59","77.88.55.60","80","b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
"13","50405912c350","2023-12-23 13:37:00","2001:4998:124:1507::f000","80","b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
"14","75baf0712a66","2023-12-23 17:14:57","142.250.186.196","443","b""\x16\x03\x01\x02\x00\x01\x00\x01\xfc\x03\x03{\xbc\xd9\xc0D\xd1\x98'`f\xc8\xfb\x86\xf0\x86%\xf7qi\x1e\x85\x84\x06}\xa1,_pB:\xff@ \x89\x1f\xbc0\xf9\x020\xaa\x13\xd0n\xb2\xb6I\x08o\x84\xbakDk\xcb\x7f2kk@\x0b\xad\xae\xc6\x81\x00V\x13\x02\x13\x03\x13\x01\xc0,\xc00\xc0+\xc0/\xcc\xa9\xcc\xa8\x00\x9f\x00\x9e\xcc\xaa\xc0\xaf\xc0\xad\xc0\xae\xc0\xac\xc0$\xc0(\xc0#\xc0'\xc0\n\xc0\x14\xc0\t\xc0\x13\xc0\xa3\xc0\x9f\xc0\xa2\xc0\x9e\x00k\x00g\x009\x003\x00\x9d\x00\x9c\xc0\xa1\xc0\x9d\xc0\xa0\xc0\x9c\x00=\x00<\x005\x00/\x00\xff\x01\x00\x01]\x00\x00\x00\x13\x00\x11\x00\x00\x0ewww.google.com\x00\x0b\x00\x04\x03\x00\x01\x02\x00\n\x00\x0c\x00\n\x00\x1d\x00\x17\x00\x1e\x00\x19\x00\x18\x00\x10\x00\x0b\x00\t\x08http/1.1\x00\x16\x00\x00\x00\x17\x00\x00\x001\x00\x00\x00\r\x00*\x00(\x04\x03\x05\x03\x06\x03\x08\x07\x08\x08\x08\t\x08\n\x08\x0b\x08\x04\x08\x05\x08\x06\x04\x01\x05\x01\x06\x01\x03\x03\x03\x01\x03\x02\x04\x02\x05\x02\x06\x02\x00+\x00\x05\x04\x03\x04\x03\x03\x00-\x00\x02\x01\x01\x003\x00&\x00$\x00\x1d\x00 \xf8\x80\x99\xb0\xa4wt\xbda\xecXu.\x9c\xec\x88cxB[\xb3\xdf\xb3\xd5\xd7\xd2\x06\xca\x98\xc3\xd2+\x00\x15\x00\xa8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"""
"15","75baf0712a66","2023-12-23 17:14:57","34.117.186.192","443","b""\x16\x03\x01\x02\x00\x01\x00\x01\xfc\x03\x03\xeaK[\xe1t\x01\x1b$!\xa1A\x06\n\x91p\xb8\xabL{\xfd\x96\x03q[\xfb\x18\x9d.4g\xa8\\ \xb4(N\x93\x12w\xf4\x82\x9c\x07EB8[\x0e\xf08\xec\x85P\xed\xa1&\xf9\xf2\xb2E\xe1\x9f\x99\xc0\xad\x00V\x13\x02\x13\x03\x13\x01\xc0,\xc00\xc0+\xc0/\xcc\xa9\xcc\xa8\x00\x9f\x00\x9e\xcc\xaa\xc0\xaf\xc0\xad\xc0\xae\xc0\xac\xc0$\xc0(\xc0#\xc0'\xc0\n\xc0\x14\xc0\t\xc0\x13\xc0\xa3\xc0\x9f\xc0\xa2\xc0\x9e\x00k\x00g\x009\x003\x00\x9d\x00\x9c\xc0\xa1\xc0\x9d\xc0\xa0\xc0\x9c\x00=\x00<\x005\x00/\x00\xff\x01\x00\x01]\x00\x00\x00\x0e\x00\x0c\x00\x00\tipinfo.io\x00\x0b\x00\x04\x03\x00\x01\x02\x00\n\x00\x0c\x00\n\x00\x1d\x00\x17\x00\x1e\x00\x19\x00\x18\x00\x10\x00\x0b\x00\t\x08http/1.1\x00\x16\x00\x00\x00\x17\x00\x00\x001\x00\x00\x00\r\x00*\x00(\x04\x03\x05\x03\x06\x03\x08\x07\x08\x08\x08\t\x08\n\x08\x0b\x08\x04\x08\x05\x08\x06\x04\x01\x05\x01\x06\x01\x03\x03\x03\x01\x03\x02\x04\x02\x05\x02\x06\x02\x00+\x00\x05\x04\x03\x04\x03\x03\x00-\x00\x02\x01\x01\x003\x00&\x00$\x00\x1d\x00 \xefY\xb4\xd6\xe5v \x10\xack\x88\xbf\x0ck0\xbdt\xedU\x1f\nL\xaa\x03\xcc\xc0\x1a\x95b}*\x11\x00\x15\x00\xad\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"""
"16","54403c44a2f7","2023-12-23 18:04:36","142.250.74.78","80","b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
"17","54403c44a2f7","2023-12-23 18:04:36","2a00:1450:400f:802::200e","80","b'GET / HTTP/1.0\r\nHost: google.com\r\n\r\n'"
"18","54403c44a2f7","2023-12-23 18:04:37","98.137.11.163","80","b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
"19","54403c44a2f7","2023-12-23 18:04:37","2001:4998:44:3507::8001","80","b'GET / HTTP/1.0\r\nHost: yahoo.com\r\n\r\n'"
"20","54403c44a2f7","2023-12-23 18:04:37","5.255.255.70","80","b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
"21","54403c44a2f7","2023-12-23 18:04:37","2a02:6b8:a::a","80","b'GET / HTTP/1.0\r\nHost: yandex.ru\r\n\r\n'"
"22","28b47ea9517c","2023-12-23 20:55:12","142.250.186.196","443","b""\x16\x03\x01\x02\x00\x01\x00\x01\xfc\x03\x03\x011\xdcm\x8e:\xf3\xc5\x8b\x130\x91\x91\x99O\x00\xda\xd2 \xfb\x85\xfe\xc6\xb6\xa1\x99\xd7\x1d\xb5\xebI* \xcb\x96&\xeb\x92KN\xc9\xf4\xc3\xd2@\x86\xf8\x1dK\x84\x02~7\x0cP@\xf8\x86N\xee\xef\x14)\x0eg\x00V\x13\x02\x13\x03\x13\x01\xc0,\xc00\xc0+\xc0/\xcc\xa9\xcc\xa8\x00\x9f\x00\x9e\xcc\xaa\xc0\xaf\xc0\xad\xc0\xae\xc0\xac\xc0$\xc0(\xc0#\xc0'\xc0\n\xc0\x14\xc0\t\xc0\x13\xc0\xa3\xc0\x9f\xc0\xa2\xc0\x9e\x00k\x00g\x009\x003\x00\x9d\x00\x9c\xc0\xa1\xc0\x9d\xc0\xa0\xc0\x9c\x00=\x00<\x005\x00/\x00\xff\x01\x00\x01]\x00\x00\x00\x13\x00\x11\x00\x00\x0ewww.google.com\x00\x0b\x00\x04\x03\x00\x01\x02\x00\n\x00\x0c\x00\n\x00\x1d\x00\x17\x00\x1e\x00\x19\x00\x18\x00\x10\x00\x0b\x00\t\x08http/1.1\x00\x16\x00\x00\x00\x17\x00\x00\x001\x00\x00\x00\r\x00*\x00(\x04\x03\x05\x03\x06\x03\x08\x07\x08\x08\x08\t\x08\n\x08\x0b\x08\x04\x08\x05\x08\x06\x04\x01\x05\x01\x06\x01\x03\x03\x03\x01\x03\x02\x04\x02\x05\x02\x06\x02\x00+\x00\x05\x04\x03\x04\x03\x03\x00-\x00\x02\x01\x01\x003\x00&\x00$\x00\x1d\x00 d\n\xae\xf3<\x9f/~\x02\x9aGq\xc1BS\x0bM\x89\x1c\xd6\x85\xfb\x12\xd9\xf3%w\xedM\x98!`\x00\x15\x00\xa8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"""
