ip,city,country,org,lat,lon
119.193.210.73,Yangp'yŏng,KR,AS4766 Korea Telecom,37.4897,127.4906
87.236.176.68,Leeds,GB,AS211298 Driftnet Ltd,53.7965,-1.5478
180.101.88.198,Nanjing,CN,AS4134 CHINANET-BACKBONE,32.0617,118.7778
180.101.88.221,Nanjing,CN,AS4134 CHINANET-BACKBONE,32.0617,118.7778
218.92.0.34,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
218.92.0.24,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
144.217.173.132,Beauharnois,CA,AS16276 OVH SAS,45.3134,-73.8725
71.6.232.24,San Diego,US,"AS10439 CariNet, Inc.",32.7157,-117.1647
198.235.24.228,Brussels,BE,AS396982 Google LLC,50.8505,4.3488
110.182.84.209,Linfen,CN,AS4134 CHINANET-BACKBONE,36.0889,111.5189
218.92.0.118,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
118.45.72.178,Andong,KR,AS4766 Korea Telecom,36.5664,128.7227
222.103.25.111,Daegu,KR,AS4766 Korea Telecom,35.8703,128.5911
167.71.253.73,Clifton,US,"AS14061 DigitalOcean, LLC",40.8584,-74.1638
222.186.16.162,Nanjing,CN,AS4134 CHINANET-BACKBONE,32.0617,118.7778
222.186.16.207,Nanjing,CN,AS4134 CHINANET-BACKBONE,32.0617,118.7778
61.177.172.160,Nanjing,CN,AS4134 CHINANET-BACKBONE,32.0617,118.7778
218.92.0.113,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
211.196.177.48,Busan,KR,AS4766 Korea Telecom,35.1017,129.0300
47.106.96.19,Shenzhen,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",22.5455,114.0683
36.94.81.243,Kediri,ID,AS7713 PT Telekomunikasi Indonesia,-7.8167,112.0167
47.74.96.31,Sydney,AU,"AS45102 Alibaba (US) Technology Co., Ltd.",-33.8678,151.2073
165.154.150.65,Jakarta,ID,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,-6.2146,106.8451
142.93.66.171,Clifton,US,"AS14061 DigitalOcean, LLC",40.8584,-74.1638
66.240.236.116,San Diego,US,"AS10439 CariNet, Inc.",32.7157,-117.1647
195.37.190.89,Bochum,DE,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,51.4817,7.2165
61.177.172.179,Nanjing,CN,AS4134 CHINANET-BACKBONE,32.0617,118.7778
205.210.31.212,São Paulo,BR,AS396982 Google LLC,-23.5475,-46.6361
31.165.12.136,Basel,CH,AS6730 Sunrise GmbH,47.5584,7.5733
121.186.46.238,Jeonju,KR,AS4766 Korea Telecom,35.8219,127.1489
68.183.88.154,Bāshettihalli,IN,"AS14061 DigitalOcean, LLC",13.2257,77.5750
94.102.61.20,Amsterdam,NL,AS202425 IP Volume inc,52.3740,4.8897
183.107.151.167,Cheonan,KR,AS4766 Korea Telecom,36.8065,127.1522
185.246.128.133,Stockholm,SE,AS42237 w1n ltd,59.3833,17.9167
222.124.214.14,Bandung,ID,AS7713 PT Telekomunikasi Indonesia,-6.9222,107.6069
165.227.201.141,North Bergen,US,"AS14061 DigitalOcean, LLC",40.8043,-74.0121
218.92.0.25,Shanghai,CN,AS4134 CHINANET-BACKBONE,31.2222,121.4581
